LR,MSE
1e-06,272.60400305538326
1e-06,97.1649431715268
1e-06,74.54921666252666
1e-06,56.153268722628106
1e-06,41.66452243342344
1e-06,30.840727985322232
1e-06,22.725865246378763
1e-06,16.8381335874591
1e-06,12.72777351585919
1e-06,10.124365132874395
1e-06,8.607839397644625
1e-06,7.555403452650724
1e-06,6.755006532237241
1e-06,6.113589622893585
1e-06,5.610105729003791
1e-05,135.9275669178243
1e-05,15.713420090901776
1e-05,6.830545624282109
1e-05,4.99404424029256
1e-05,3.8821850391952206
1e-05,2.9832830770059036
1e-05,2.5454212101037066
1e-05,2.0564562203107055
1e-05,1.877954294369615
1e-05,1.5547447079024699
1e-05,1.3730697795422389
1e-05,1.2360727562972882
1e-05,1.1270120521781732
1e-05,1.0255164908552836
1e-05,0.9311253341459432
0.0001,152.6038642544425
0.0001,1.5065775273026059
0.0001,1.082520034760368
0.0001,0.7689216463250287
0.0001,0.6411317982177862
0.0001,0.4663938907846007
0.0001,0.4003520144984658
0.0001,0.43385672747780735
0.0001,0.2624113571655608
0.0001,0.2271368675540043
0.0001,0.20689983472439308
0.0001,0.3343151629840259
0.0001,0.181771256684091
0.0001,0.21364370665959076
0.0001,0.1466572625884973
0.001,120.75844192801858
0.001,0.8042374937503406
0.001,0.738076099595698
0.001,0.2979424956432309
0.001,0.39854060566170485
0.001,1.4819094606781396
0.001,0.45527587823791665
0.001,0.1469545458239456
0.001,0.17221909660806087
0.001,0.23382247093229352
0.001,0.09850735768069899
0.001,0.15306156049084405
0.001,0.16693236467219522
0.001,0.09388030242720954
0.001,0.3115182139227312
0.01,209.8032158422186
0.01,2.0331497392824045
0.01,1.3139715669325287
0.01,1.0845705911487669
0.01,1.5272376383505621
0.01,1.8786257461568354
0.01,0.31643151770624006
0.01,0.6781055038220355
0.01,1.4200459183971126
0.01,0.6225377777762244
0.01,0.4498672475866553
0.01,0.38242058287527464
0.01,0.25018653992421314
0.01,0.5589059523075772
0.01,0.6638740278676647
0.1,223.69713150977594
0.1,124.60931515552723
0.1,124.53738611533672
0.1,125.58338724033635
0.1,124.45230992418242
0.1,126.09450588183782
0.1,124.5089695334529
0.1,126.84351445793311
0.1,124.79028875365567
0.1,124.53239620570017
0.1,124.4876131690116
0.1,124.57409084729375
0.1,124.91154947746733
0.1,126.54695651073986
0.1,126.64503291626924
