LR,MSE,TIME
1e-06,896.4227678816428,7.973645448684692
1e-06,357.26940965238003,7.4450743198394775
1e-06,98.88950762767793,7.522035598754883
1e-06,46.62307624808363,7.534205436706543
1e-06,39.8701492168932,7.612292528152466
1e-06,34.42988602998582,7.870419025421143
1e-06,28.952055456689862,7.677921772003174
1e-06,23.67402035901642,7.494285345077515
1e-06,18.884346853054694,7.495131492614746
1e-06,14.727189576458981,7.572164535522461
1e-06,11.165201608274852,7.478399753570557
1e-06,8.519686766403039,7.498499155044556
1e-06,6.758250222314155,7.689676284790039
1e-06,5.638932894018936,7.4981958866119385
1e-06,4.875608520327537,7.771167278289795
1e-05,101.20060980452229,7.718877553939819
1e-05,22.62964465190851,7.57533073425293
1e-05,6.806725647794657,7.484769105911255
1e-05,4.818582914485686,7.4649670124053955
1e-05,3.9638098501066095,7.516812562942505
1e-05,3.313997611355124,7.5693137645721436
1e-05,2.775368161444876,7.538487911224365
1e-05,2.3659336747836393,7.591350555419922
1e-05,2.0814213599148133,7.5337975025177
1e-05,1.7423027377840474,7.5302574634552
1e-05,1.5422466981217067,7.538999319076538
1e-05,1.3706525982809385,7.597894668579102
1e-05,1.2388747683532257,7.673871040344238
1e-05,1.2093207555851024,7.630828619003296
1e-05,1.0915765303569245,7.469717979431152
0.0001,138.0399411671182,7.606328010559082
0.0001,2.3154575499886283,7.5904834270477295
0.0001,1.4181366200792822,7.500245809555054
0.0001,0.9961838157210195,7.576022386550903
0.0001,0.737970710330812,7.672285556793213
0.0001,0.5642587820198223,7.52082085609436
0.0001,0.46523184430245684,7.499836206436157
0.0001,0.3739734360465067,7.504880905151367
0.0001,0.37223894122735873,7.472914457321167
0.0001,0.34928358699849815,7.505203723907471
0.0001,0.2885429554360047,7.5364155769348145
0.0001,0.22910138076961467,7.528982877731323
0.0001,0.20606701750700004,7.617483139038086
0.0001,0.20810458964011105,7.463340759277344
0.0001,0.290271670607843,7.437913179397583
0.001,174.62862434573952,7.622770309448242
0.001,0.8153986660401635,7.44572377204895
0.001,0.5073283222098752,7.543896436691284
0.001,0.35036522228089917,7.616919040679932
0.001,0.3610553496205127,7.626210451126099
0.001,0.32264554483973135,7.7076661586761475
0.001,0.20066818732497133,7.50376558303833
0.001,0.9456354733809909,7.415611267089844
0.001,0.2587521695678089,7.5092010498046875
0.001,1.3161178711597623,7.912092208862305
0.001,0.6877717873484113,7.7851784229278564
0.001,0.24620381815932643,7.771147727966309
0.001,0.28661866460473295,7.775374889373779
0.001,0.22370953514008007,7.705403566360474
0.001,0.14608992948726765,7.744826555252075
0.01,28.65721662938092,7.590636730194092
0.01,6.974556171633125,7.6303815841674805
0.01,3.9322369015494814,7.700213432312012
0.01,4.612210726255348,7.629538536071777
0.01,4.454416755811356,7.615235090255737
0.01,6.40286028452997,7.848883152008057
0.01,4.525860615780343,7.785782098770142
0.01,4.810956099391359,7.646460771560669
0.01,7.602849091149898,7.6219213008880615
0.01,5.194614918548125,7.5887603759765625
0.01,3.9921210444243522,7.7492516040802
0.01,5.344861269250999,7.944364786148071
0.01,5.493081581054154,7.673097610473633
0.01,7.33453291853117,7.793962478637695
0.01,5.056120784226484,7.702136516571045
0.1,153.247595706064,7.834457159042358
0.1,124.75481059080397,7.5769147872924805
0.1,127.17623639272658,7.7447004318237305
0.1,125.35640744723152,7.664855003356934
0.1,124.441989432811,7.6152503490448
0.1,125.14922638199432,7.598649501800537
0.1,126.13829877278505,7.694666385650635
0.1,124.68462576496601,7.770344972610474
0.1,124.9035561815538,7.6951658725738525
0.1,130.70715722829843,7.585644721984863
0.1,124.9832573832948,7.650363922119141
0.1,127.11369662431083,7.589352369308472
0.1,127.48032104826001,7.704137086868286
0.1,124.5265790236287,7.678816795349121
0.1,126.2252382406131,7.829272508621216
