LR,MSE,TIME
0.025,2.8806835225969917e-05,10.00552225112915
0.025,7.919330019463808e-05,8.78779649734497
0.025,9.81189334325412e-06,8.738865375518799
0.025,2.3368831862412564e-06,8.868292093276978
0.025,4.3828303358822266e-06,8.855844497680664
0.025,4.6023127813012985e-07,8.951486825942993
0.025,1.1963001844792264e-06,8.933656692504883
0.025,5.877952155541877e-09,8.909895658493042
0.025,5.0135274470397565e-09,8.671046495437622
0.025,7.481016567778553e-10,8.676229238510132
0.05,2.220446049250313e-16,9.01934266090393
0.05,1.0880185641326534e-14,9.062049627304077
0.05,6.044431644092185e-08,8.795328617095947
0.05,2.220446049250313e-16,8.789843559265137
0.05,1.9984014443252818e-15,9.351094007492065
0.05,6.800116025829084e-12,8.6960928440094
0.05,5.551115123125783e-15,9.189014434814453
0.05,0.0,8.8832106590271
0.05,0.0,8.593700885772705
0.05,0.0,8.895650863647461
0.075,1.0018652574217412e-15,9.01637053489685
0.075,2.2284041278908263e-14,8.99104118347168
0.075,5.684341886080802e-18,8.863418579101562
0.075,5.684341886080802e-18,8.831096887588501
0.075,5.684341886080802e-18,9.027809381484985
0.075,5.684341886080802e-18,9.156371355056763
0.075,5.684341886080802e-18,8.84807300567627
0.075,5.684341886080802e-18,8.876549005508423
0.075,5.684341886080802e-18,8.841455221176147
0.075,5.684341886080802e-18,9.038159132003784
0.1,0.14897562185256508,8.8148353099823
0.1,0.03250771290307686,9.013479232788086
0.1,0.0005832536713214244,8.647170066833496
0.1,1.6081898651688646e-08,8.79123830795288
0.1,8.616294695234424e-21,8.9542875289917
0.1,3.949420208197535e-60,9.075014114379883
0.1,7.069094590028726e-89,9.01514720916748
0.1,7.069094590028726e-89,8.948519706726074
0.1,1.9636373861190906e-90,8.750243186950684
0.1,4.9090934652977266e-89,9.081576824188232
0.15,1.9984014443252818e-13,8.933537483215332
0.15,4.3520742565306136e-14,8.990849494934082
0.15,8.881784197001252e-16,8.957213878631592
0.15,8.881784197001252e-16,9.014370918273926
0.15,4.3520742565306136e-14,9.343732118606567
0.15,7.194245199571014e-14,9.079411029815674
0.15,3.552713678800501e-15,8.846235752105713
0.15,0.0,8.870548009872437
0.15,0.0,9.44258975982666
0.15,0.0,9.224439859390259
0.175,8.881784197001252e-14,9.145231246948242
0.175,4.352074256530614e-12,9.188904047012329
0.175,5.115907697472721e-13,9.116249084472656
0.175,1.4210854715202004e-14,9.15494155883789
0.175,0.0,9.175885915756226
0.175,0.0,9.204162120819092
0.175,0.0,9.252028465270996
0.175,0.0,9.236157894134521
0.175,0.0,9.294641733169556
0.175,0.0,9.394494533538818
0.2,2.877698079828406e-13,9.168163537979126
0.2,3.552713678800501e-13,9.155250072479248
0.2,3.442852758439585e-08,9.131249904632568
0.2,2.2737367544323206e-13,9.245261192321777
0.2,2.7853275241795927e-12,9.294915199279785
0.2,2.2737367544323206e-13,9.23985481262207
0.2,5.684341886080802e-14,9.089874267578125
0.2,3.552713678800501e-15,9.09594440460205
0.2,3.552713678800501e-15,9.374038219451904
0.2,0.0,9.098555088043213
