BS,RUN_0,RUN_1,RUN_2,RUN_3,RUN_4,RUN_5,RUN_6,RUN_7,RUN_8,RUN_9
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,3.2671084182108715e-21,8.420658378839188e-10,0.0,5.693608769793201e-18,0.0,0.0
8,0.0,6.4058288360672906e-15,6.679927021473001e-13,0.0,0.0,0.0,0.0,2.696503386438328e-14,0.0,6.227853968684842e-07
16,0.0,4.515246017353287e-05,0.0,0.0,7.375077214721252e-05,0.0,0.0,2.6436784848176724e-12,0.0,0.0
32,0.0,0.0,0.0,4.9090934652977266e-89,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,3.0471906716188646e-18,3.552713678800501e-15,1.1768947087763444e-12,0.0,0.0,4.320404576518791e-07,1.751608003889454e-05,3.552713678800501e-15,0.0
128,0.0,7.781864042044617e-11,0.0,4.7858103651500606e-05,8.881784197001252e-16,0.0,0.04490846669516291,0.0,8.881784197001252e-16,0.07250670357505928
256,0.22424939719701698,9.51562548658913e-05,0.0,0.2639910169238,0.16537666245224703,0.11454782735494805,0.13279465754582365,0.0,0.0,0.162413513611682
512,0.22184115519192546,0.19319072099301593,0.27117551978405174,1.4210854715202004e-14,2.220446049250313e-16,8.775522530868329e-10,0.4390727791168416,8.881784197001252e-16,0.0,0.11855076174217416
1024,0.6176884597889511,0.14649336828098658,0.0,4.3520742565306136e-14,0.690747697085218,0.0988017636828431,7.993605777301127e-15,0.8023397408204715,3.552713678800501e-15,0.1999342135946769
2048,1.4210854715202004e-14,1.7408297026122455e-13,0.00035987893283007447,8.881784197001252e-16,0.24974376571714174,0.18548593564204996,0.7082954774536034,0.6591659626579371,0.17928990748947626,2.2737367544323206e-13
