BS,RUN_0,RUN_1,RUN_2,RUN_3,RUN_4,RUN_5,RUN_6,RUN_7,RUN_8,RUN_9
2,10226.353240710017,11127.819617231604,9093.707660711918,10148.701987809274,9868.292395366072,11256.298085686158,10240.705436430266,10046.135326992919,20645.095283948172,11034.660797462799
4,8560.997613517671,11565.416734502203,8588.520815574379,8005.915722579889,8222.177821351383,8431.681895647573,13687.58710668295,9251.50991950565,8574.895524351878,11929.617685419647
8,8101.439990611555,8269.070446028678,7891.97229397715,7513.4739362126875,8880.522128246155,8043.9155816385355,7145.400953768181,9268.405948453648,7329.936481844141,8951.362991559547
16,11799.888902769644,7512.3752420570745,8017.4343737786385,9727.260377815288,16401.631907562954,9234.743710955372,9290.475455326987,9954.35203149483,10112.231413347454,8730.74517755977
32,11382.891739151626,10389.732101398926,10282.148744213893,21689.21014716286,10382.697101877655,29989.03162454698,11900.212306852109,24829.166330071734,9798.634373453739,12343.45511137778
64,14788.229436811256,13677.110041689306,32635.70792040285,17182.673457195753,14117.255671415203,12569.473905994617,15074.929699864686,12074.347555919123,15803.5638218317,16873.120458169997
128,19440.11109520688,16513.550081205532,24462.560721402984,15465.063373324436,15529.602404840047,21026.712406419527,14649.934617466337,16055.242406744319,19507.66453086571,21521.60848552347
256,22083.38216111282,18782.932280097313,21234.884079909512,22292.36239947785,38044.45885338891,19300.589046146542,23265.812217259114,21132.000711559136,23915.412640399456,25025.268077608664
512,26741.1220761223,26847.733245504878,29936.96622140714,25163.784354722335,28008.589079842608,26030.369114205478,29324.266018948023,29339.825684781557,28590.760595614665,27793.71052411028
1024,41428.98406431848,36983.31282111001,41378.27717562873,36203.696243178725,35188.49938679248,42611.99035410893,35699.11381306354,36711.889868516366,50532.20919747583,36716.04651188669
2048,82258.34369992538,63250.40837830522,110367.10175550666,88050.72478542727,69763.40561320637,100590.85115876763,92736.64962634855,61614.618969986645,98034.76759307785,127737.59796900969
