LR,MSE,TIME
0.00025,46580.83355037341,9.146478414535522
0.00025,32401.928066454286,9.1389799118042
0.00025,24744.52100460733,8.595737934112549
0.00025,22582.472551782703,8.614490747451782
0.00025,21034.93691843186,8.66665267944336
0.00025,18474.599198761214,8.539441585540771
0.00025,19666.500325589906,8.738005638122559
0.00025,16645.700607115043,8.520344972610474
0.00025,18540.776646504684,8.64794921875
0.00025,15678.03733395468,8.654808521270752
0.0005,29676.54103198063,8.565539598464966
0.0005,25577.553606477857,8.750197649002075
0.0005,17719.654533082266,8.525118827819824
0.0005,20219.353527485022,8.672255277633667
0.0005,17600.419720043385,8.446000337600708
0.0005,23523.476942613386,8.522994041442871
0.0005,16377.625406196476,8.598416566848755
0.0005,15272.208777509195,8.556464910507202
0.0005,14372.830359372429,8.603736877441406
0.0005,13371.830673316821,8.527221441268921
0.00075,32585.34831975488,8.588995695114136
0.00075,21112.497678848194,8.531901121139526
0.00075,21723.628082973442,8.567280292510986
0.00075,15973.879240054202,8.690893173217773
0.00075,26876.178969516634,8.659463882446289
0.00075,15084.713916258108,8.424801111221313
0.00075,27257.782660444587,8.462464570999146
0.00075,14661.681024478612,8.534629821777344
0.00075,13486.752325118101,8.6590576171875
0.00075,11743.533565738577,8.680060863494873
0.001,25075.904771992315,9.439406633377075
0.001,19676.408861117332,9.320370435714722
0.001,17178.04489396602,9.112836837768555
0.001,16676.213341969262,8.983433723449707
0.001,19112.504055909954,9.115951776504517
0.001,15701.947328771019,8.936397552490234
0.001,14123.459873835016,8.763113975524902
0.001,12422.745910642878,8.609185934066772
0.001,12978.083779342483,8.728899002075195
0.001,11674.866567466623,8.477391481399536
0.0015,28774.079986672055,8.704199075698853
0.0015,21592.362299881093,8.811546087265015
0.0015,53348.93502627384,8.67275094985962
0.0015,20556.07184686556,8.891796827316284
0.0015,12403.250927457153,8.727047681808472
0.0015,17654.578227068298,8.747206449508667
0.0015,17156.517416283925,8.783957242965698
0.0015,24931.73084065359,8.74908709526062
0.0015,13470.58343085137,8.782864570617676
0.0015,9245.257559384158,8.620999336242676
0.00175,101344.19528018514,8.536202907562256
0.00175,17011.10249029877,8.612258195877075
0.00175,21267.782351276954,8.674946546554565
0.00175,33391.62985700173,8.612841844558716
0.00175,14783.35236553614,8.550435781478882
0.00175,13145.66480515624,8.87947392463684
0.00175,14682.0970624647,9.073292970657349
0.00175,18167.80100614131,8.988901615142822
0.00175,21040.347763044167,8.950759410858154
0.00175,17639.945446557493,8.842230319976807
0.002,29999.747012053715,8.51124382019043
0.002,15953.047275061732,8.872143507003784
0.002,21627.037086493296,8.962033033370972
0.002,13658.163692091734,8.671609163284302
0.002,12728.746087267968,9.21798300743103
0.002,33690.54715215758,9.28753113746643
0.002,11083.884067142175,9.091820240020752
0.002,14548.972455644953,8.823528051376343
0.002,11194.821995114675,8.457977056503296
0.002,11192.621557686021,8.512668132781982
